idPlayer,qtKill,qtAssist,qtDeath,qtHs,qtBombeDefuse,qtBombePlant,qtTk,qtTkAssist,qt1Kill,qt2Kill,qt3Kill,qt4Kill,qt5Kill,qtFirstKill,vlDamage,qtHits,qtShots,qtLastAlive,qtClutchWon,qtRoundsPlayed,qtSurvived,qtTrade,qtFlashAssist,qtHitHeadshot,qtHitChest,qtHitStomach,qtHitLeftAtm,qtHitRightArm,qtHitLeftLeg,qtHitRightLeg,gamesWinned,descMapName_de_ancient,descMapName_de_dust2,descMapName_de_inferno,descMapName_de_mirage,descMapName_de_nuke,descMapName_de_overpass,descMapName_de_train,descMapName_de_vertigo,KDA,hitRate,ADR,HSRate,gamesPlayed,winRate,weightedHitRate,brilliantPerformance,grade
1,29,4,34,8,0,4,0.0,1.0,12,5,1,1,0,4,3844,79.0,809,1.0,1,44,9.0,3.0,0.0,10.0,39.0,18.0,4.0,3.0,2.0,3.0,1,0,0,0,1,1,0,0,0,0.9705882352941176,0.09765142150803462,87.36363636363636,0.012360939431396786,2,0.5,0.1157725587144623,1.2750000000000001,F
2,188,64,400,77,1,28,0.0,2.0,117,27,4,1,0,36,28998,842.0,6283,0.0,0,485,88.0,63.0,16.0,110.0,312.0,218.0,26.0,61.0,57.0,58.0,8,2,1,2,11,1,0,0,3,0.63,0.13401241445169504,59.789690721649485,0.01750756008276301,20,0.4,0.1464173165685182,1.1475000000000002,G
3,1900,319,1728,738,40,132,0.0,14.0,794,341,110,23,0,183,234953,6481.0,39910,66.0,37,2461,661.0,255.0,30.0,953.0,3058.0,1405.0,170.0,499.0,189.0,207.0,45,3,16,15,13,14,0,2,26,1.2841435185185186,0.16239037835129042,95.47054043071923,0.023878727136056127,89,0.5056179775280899,0.19275169130543723,2.204494382022472,C
4,29,4,44,11,1,1,0.0,0.0,13,5,2,0,0,3,3658,95.0,784,1.0,1,61,16.0,3.0,0.0,13.0,35.0,21.0,4.0,13.0,6.0,3.0,1,0,0,0,2,1,0,0,0,0.75,0.1211734693877551,59.967213114754095,0.016581632653061226,3,0.3333333333333333,0.13723214285714286,0.9833333333333334,G
5,72,19,63,27,3,9,1.0,0.0,24,14,6,0,0,6,9378,274.0,1317,2.0,2,91,26.0,9.0,0.0,39.0,124.0,63.0,11.0,19.0,10.0,8.0,1,0,1,0,2,0,0,0,1,1.4444444444444444,0.20804859529233105,103.05494505494505,0.029612756264236904,4,0.25,0.23817008352315872,1.7750000000000001,C
6,550,112,516,224,8,19,0.0,2.0,221,83,31,12,4,113,72269,1683.0,14741,19.0,11,713,178.0,74.0,3.0,267.0,783.0,331.0,45.0,153.0,54.0,50.0,14,0,0,12,11,0,0,1,2,1.2829457364341086,0.11417135879519708,101.35904628330997,0.018112746760735363,26,0.5384615384615384,0.13869411844515298,2.648076923076923,B
7,194,65,296,83,3,29,0.0,5.0,112,34,3,1,0,20,29734,910.0,5595,2.0,2,385,85.0,58.0,1.0,109.0,361.0,241.0,29.0,75.0,36.0,59.0,7,2,4,3,2,0,3,0,2,0.875,0.16264521894548703,77.23116883116883,0.019481680071492403,16,0.4375,0.1821751563896336,1.271875,F
8,6,5,25,1,0,1,0.0,0.0,2,2,0,0,0,1,1362,43.0,292,0.0,0,30,5.0,6.0,1.0,2.0,15.0,14.0,3.0,3.0,3.0,3.0,0,0,0,0,0,0,0,0,1,0.44,0.14726027397260275,45.4,0.00684931506849315,1,0.0,0.14527397260273975,0.44999999999999996,G
9,1440,209,1099,666,22,168,4.0,15.0,579,255,82,22,3,112,176826,4245.0,25937,53.0,47,1716,551.0,172.0,24.0,820.0,2023.0,741.0,118.0,294.0,106.0,143.0,36,4,6,14,24,5,5,2,5,1.500454959053685,0.1636658056058912,103.04545454545455,0.031615067278405365,65,0.5538461538461539,0.20491807070979684,2.6030769230769235,A
10,2023,349,2003,1194,21,88,0.0,21.0,736,384,120,35,3,381,265526,5959.0,40445,42.0,39,2606,563.0,395.0,60.0,1419.0,2834.0,844.0,165.0,470.0,113.0,114.0,52,2,7,7,60,2,1,0,21,1.1842236645032451,0.14733588824329336,101.89025326170376,0.03508468290270738,100,0.52,0.1947590555074793,3.237,B
